variant,target_accuracy,target_f1_macro,target_precision_macro,target_recall_macro
baseline,0.7136,0.6813,0.7414,0.6676
fix_a_calib,0.6789,0.6619,0.6543,0.6883
fix_b_rebalance,0.7416,0.6969,0.7495,0.6805
